sample,group,stain,method,strength,nonzero_enhanced_fraction,source
CCC_K10_F1_L1,2,TRAP,trap_morphology,0.8,0.9662322998046875,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L1_org_ano/4_CCC_K10_hK_FL1_T_s1c2.png
CCC_K10_F1_L1,4,CFO,contrast_edges,0.5,1.0,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L1_org_ano/8_CCC_K10_hK_FL1_C_s1c1.png
CCC_K10_F1_L1,5,SFO,sfo_hue_selection,1.0,0.05229949951171875,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L1_org_ano/9_CCC_K10_hK_FL1_S_s1.png
CCC_K10_F1_L2,2,TRAP,trap_morphology,0.8,0.9101371765136719,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L2_org_ano/4_CCC_K10_hK_FL2_T_s1c2.png
CCC_K10_F1_L2,4,CFO,contrast_edges,0.5,1.0,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L2_org_ano/8_CCC_K10_hK_FL2_C_s1c1.png
CCC_K10_F1_L2,5,SFO,sfo_hue_selection,1.0,0.026935577392578125,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L2_org_ano/9_CCC_K10_hK_FL2_S_s1.png
CCC_K10_F1_L3,2,TRAP,trap_morphology,0.8,0.9094161987304688,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L3_org_ano/4_CCC_K10_hK_FL3_T_s1c2.png
CCC_K10_F1_L3,4,CFO,contrast_edges,0.5,1.0,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L3_org_ano/8_CCC_K10_hK_FL3_C_s1c1.png
CCC_K10_F1_L3,5,SFO,sfo_hue_selection,1.0,0.028881072998046875,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L3_org_ano/9_CCC_K10_hK_FL3_S_s1.png
CCC_K10_F2_L1,2,TRAP,trap_morphology,0.8,0.9688453674316406,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L1_org_ano/4_CCC_K10_hK_FL1_T_s2c2.png
CCC_K10_F2_L1,4,CFO,contrast_edges,0.5,1.0,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L1_org_ano/8_CCC_K10_hK_FL1_C_s2c1.png
CCC_K10_F2_L1,5,SFO,sfo_hue_selection,1.0,0.003337860107421875,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L1_org_ano/9_CCC_K10_hK_FL1_S_s2.png
CCC_K10_F2_L2,2,TRAP,trap_morphology,0.8,0.7315330505371094,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L2_org_ano/4_CCC_K10_hK_FL2_T_s2c2.png
CCC_K10_F2_L2,4,CFO,contrast_edges,0.5,1.0,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L2_org_ano/8_CCC_K10_hK_FL2_C_s2c1.png
CCC_K10_F2_L2,5,SFO,sfo_hue_selection,1.0,0.05818939208984375,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L2_org_ano/9_CCC_K10_hK_FL2_S_s2.png
CCC_K10_F2_L3,2,TRAP,trap_morphology,0.8,0.7310638427734375,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L3_org_ano/4_CCC_K10_hK_FL3_T_s2c2.png
CCC_K10_F2_L3,4,CFO,contrast_edges,0.5,1.0,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L3_org_ano/8_CCC_K10_hK_FL3_C_s2c1.png
CCC_K10_F2_L3,5,SFO,sfo_hue_selection,1.0,0.060520172119140625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L3_org_ano/9_CCC_K10_hK_FL3_S_s2.png
CCC_K10_M1_L1,2,TRAP,trap_morphology,0.8,0.7316703796386719,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L1_org_ano/4_CCC_K10_hK_ML1_T_s1c2.png
CCC_K10_M1_L1,4,CFO,contrast_edges,0.5,1.0,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L1_org_ano/8_CCC_K10_hK_ML1_C_s1c1.png
CCC_K10_M1_L1,5,SFO,sfo_hue_selection,1.0,0.0713043212890625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L1_org_ano/9_CCC_K10_hK_ML1_S_s1.png
CCC_K10_M1_L2,2,TRAP,trap_morphology,0.8,0.589111328125,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L2_org_ano/4_CCC_K10_hK_ML2_T_s1c4.png
CCC_K10_M1_L2,4,CFO,contrast_edges,0.5,1.0,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L2_org_ano/8_CCC_K10_hK_ML2_C_s1c1.png
CCC_K10_M1_L2,5,SFO,sfo_hue_selection,1.0,0.01715087890625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L2_org_ano/9_CCC_K10_hK_ML2_S_s1.png
CCC_K10_M1_L3,2,TRAP,trap_morphology,0.8,0.562744140625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L3_org_ano/4_CCC_K10_hK_ML3_T_s1c2.png
