sample,color_space,hue_range_degrees,selected_fraction,source
CCC_K10_F1_L1,rgb,70-200,0.053318023681640625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L1_org_ano/9_CCC_K10_hK_FL1_S_s1.png
CCC_K10_F1_L2,rgb,70-200,0.02730560302734375,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L2_org_ano/9_CCC_K10_hK_FL2_S_s1.png
CCC_K10_F1_L3,rgb,70-200,0.030120849609375,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F1_L3_org_ano/9_CCC_K10_hK_FL3_S_s1.png
CCC_K10_F2_L1,rgb,70-200,0.00374603271484375,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L1_org_ano/9_CCC_K10_hK_FL1_S_s2.png
CCC_K10_F2_L2,rgb,70-200,0.059207916259765625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L2_org_ano/9_CCC_K10_hK_FL2_S_s2.png
CCC_K10_F2_L3,rgb,70-200,0.06160736083984375,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_F2_L3_org_ano/9_CCC_K10_hK_FL3_S_s2.png
CCC_K10_M1_L1,rgb,70-200,0.0725555419921875,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L1_org_ano/9_CCC_K10_hK_ML1_S_s1.png
CCC_K10_M1_L2,rgb,70-200,0.017848968505859375,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L2_org_ano/9_CCC_K10_hK_ML2_S_s1.png
CCC_K10_M1_L3,rgb,70-200,0.045513153076171875,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M1_L3_org_ano/9_CCC_K10_hK_ML3_S_s1.png
CCC_K10_M2_L1,rgb,70-200,0.045948028564453125,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M2_L1_org_ano/9_CCC_K10_hK_ML1_S_s2.png
CCC_K10_M2_L2,rgb,70-200,0.0391845703125,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M2_L2_org_ano/9_CCC_K10_hK_ML2_S_s2.png
CCC_K10_M3_L1,rgb,70-200,0.04986572265625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M3_L1_org_ano/9_CCC_K10_hK_ML1_S_s3.png
CCC_K10_M3_L2,rgb,70-200,0.07639312744140625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M3_L2_org_ano/9_CCC_K10_hK_ML2_S_s3.png
CCC_K10_M3_L3,rgb,70-200,0.056461334228515625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M3_L3_org_ano/9_CCC_K10_hK_ML3_S_s3.png
CCC_K10_M4_L1,rgb,70-200,0.04828643798828125,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M4_L1_org_ano/9_CCC_K10_hK_ML1_S_s4.png
CCC_K10_M4_L2,rgb,70-200,0.057468414306640625,/home/yec23006/projects/research/Registration/Data/Cartilage/Unregistered/CCC_K10_M4_L2_org_ano/9_CCC_K10_hK_ML2_S_s4.png
